RowIndex,MissingFields,ContextMentioned,Sentence
684,"Gender, Age, Education, Employment",False,ERROR: No unique template left
686,"Gender, Age, Education, Employment",False,ERROR: No unique template left
687,"Gender, Age, Education, Employment",False,ERROR: No unique template left
690,"Gender, Age, Education, Employment",False,ERROR: No unique template left
692,"Gender, Age, Education, Employment",False,ERROR: No unique template left
695,"Gender, Age, Education, Employment",False,ERROR: No unique template left
697,"Gender, Age, Education, Employment",False,ERROR: No unique template left
699,"Gender, Age, Education, Employment",False,ERROR: No unique template left
700,"Gender, Age, Education, Employment",False,ERROR: No unique template left
701,"Gender, Age, Education, Employment",False,ERROR: No unique template left
702,"Gender, Age, Education, Employment",False,ERROR: No unique template left
703,"Gender, Age, Education, Employment",False,ERROR: No unique template left
705,"Gender, Age, Education, Employment",False,ERROR: No unique template left
706,"Gender, Age, Education, Employment",False,ERROR: No unique template left
710,"Gender, Age, Education, Employment",False,ERROR: No unique template left
711,"Gender, Age, Education, Employment",False,ERROR: No unique template left
712,"Gender, Age, Education, Employment",False,ERROR: No unique template left
713,"Gender, Age, Education, Employment",False,ERROR: No unique template left
714,"Gender, Age, Education, Employment",False,ERROR: No unique template left
715,"Gender, Age, Education, Employment",False,ERROR: No unique template left
716,"Gender, Age, Education, Employment",False,ERROR: No unique template left
717,"Gender, Age, Education, Employment",False,ERROR: No unique template left
718,"Gender, Age, Education, Employment",False,ERROR: No unique template left
719,"Gender, Age, Education, Employment",False,ERROR: No unique template left
720,"Gender, Age, Education, Employment",False,ERROR: No unique template left
722,"Gender, Age, Education, Employment",False,ERROR: No unique template left
723,"Gender, Age, Education, Employment",False,ERROR: No unique template left
724,"Gender, Age, Education, Employment",False,ERROR: No unique template left
725,"Gender, Age, Education, Employment",False,ERROR: No unique template left
726,"Gender, Age, Education, Employment",False,ERROR: No unique template left
727,"Gender, Age, Education, Employment",False,ERROR: No unique template left
728,"Gender, Age, Education, Employment",False,ERROR: No unique template left
729,"Gender, Age, Education, Employment",False,ERROR: No unique template left
730,"Gender, Age, Education, Employment",False,ERROR: No unique template left
731,"Gender, Age, Education, Employment",False,ERROR: No unique template left
732,"Gender, Age, Education, Employment",False,ERROR: No unique template left
734,"Gender, Age, Education, Employment",False,ERROR: No unique template left
735,"Gender, Age, Education, Employment",False,ERROR: No unique template left
736,"Gender, Age, Education, Employment",False,ERROR: No unique template left
737,"Gender, Age, Education, Employment",False,ERROR: No unique template left
739,"Gender, Age, Education, Employment",False,ERROR: No unique template left
741,"Gender, Age, Education, Employment",False,ERROR: No unique template left
742,"Gender, Age, Education, Employment",False,ERROR: No unique template left
743,"Gender, Age, Education, Employment",False,ERROR: No unique template left
744,"Gender, Age, Education, Employment",False,ERROR: No unique template left
745,"Gender, Age, Education, Employment",False,ERROR: No unique template left
746,"Gender, Age, Education, Employment",False,ERROR: No unique template left
747,"Gender, Age, Education, Employment",False,ERROR: No unique template left
748,"Gender, Age, Education, Employment",False,ERROR: No unique template left
749,"Gender, Age, Education, Employment",False,ERROR: No unique template left
750,"Gender, Age, Education, Employment",False,ERROR: No unique template left
751,"Gender, Age, Education, Employment",False,ERROR: No unique template left
752,"Gender, Age, Education, Employment",False,ERROR: No unique template left
753,"Gender, Age, Education, Employment",False,ERROR: No unique template left
754,"Gender, Age, Education, Employment",False,ERROR: No unique template left
756,"Gender, Age, Education, Employment",False,ERROR: No unique template left
757,"Gender, Age, Education, Employment",False,ERROR: No unique template left
758,"Gender, Age, Education, Employment",False,ERROR: No unique template left
759,"Gender, Age, Education, Employment",False,ERROR: No unique template left
760,"Gender, Age, Education, Employment",False,ERROR: No unique template left
761,"Gender, Age, Education, Employment",False,ERROR: No unique template left
763,"Gender, Age, Education, Employment",False,ERROR: No unique template left
764,"Gender, Age, Education, Employment",False,ERROR: No unique template left
765,"Gender, Age, Education, Employment",False,ERROR: No unique template left
766,"Gender, Age, Education, Employment",False,ERROR: No unique template left
768,"Gender, Age, Education, Employment",False,ERROR: No unique template left
770,"Gender, Age, Education, Employment",False,ERROR: No unique template left
771,"Gender, Age, Education, Employment",False,ERROR: No unique template left
772,"Gender, Age, Education, Employment",False,ERROR: No unique template left
773,"Gender, Age, Education, Employment",False,ERROR: No unique template left
774,"Gender, Age, Education, Employment",False,ERROR: No unique template left
776,"Gender, Age, Education, Employment",False,ERROR: No unique template left
777,"Gender, Age, Education, Employment",False,ERROR: No unique template left
778,"Gender, Age, Education, Employment",False,ERROR: No unique template left
779,"Gender, Age, Education, Employment",False,ERROR: No unique template left
780,"Gender, Age, Education, Employment",False,ERROR: No unique template left
781,"Gender, Age, Education, Employment",False,ERROR: No unique template left
782,"Gender, Age, Education, Employment",False,ERROR: No unique template left
783,"Gender, Age, Education, Employment",False,ERROR: No unique template left
784,"Gender, Age, Education, Employment",False,ERROR: No unique template left
785,"Gender, Age, Education, Employment",False,ERROR: No unique template left
786,"Gender, Age, Education, Employment",False,ERROR: No unique template left
787,"Gender, Age, Education, Employment",False,ERROR: No unique template left
788,"Gender, Age, Education, Employment",False,ERROR: No unique template left
790,"Gender, Age, Education, Employment",False,ERROR: No unique template left
791,"Gender, Age, Education, Employment",False,ERROR: No unique template left
792,"Gender, Age, Education, Employment",False,ERROR: No unique template left
793,"Gender, Age, Education, Employment",False,ERROR: No unique template left
794,"Gender, Age, Education, Employment",False,ERROR: No unique template left
795,"Gender, Age, Education, Employment",False,ERROR: No unique template left
796,"Gender, Age, Education, Employment",False,ERROR: No unique template left
797,"Gender, Age, Education, Employment",False,ERROR: No unique template left
798,"Gender, Age, Education, Employment",False,ERROR: No unique template left
799,"Gender, Age, Education, Employment",False,ERROR: No unique template left
